Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,,
,NOMOR,TAHUN,,,,,,,,,,,,,
,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,,,
,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,,,
,,JUMLAH,,,,N A M A   /   J U M L A H,,,,LUAS,JUMLAH,,,,
,NAMA PROVINSI /,,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,,
K O D E,KABUPATEN / KOTA,,,,,,,,,(Km2),(Jiwa) *),,,,
,,KAB,KOTA,,KECAMATAN,KELURAHAN,,D E S A,,,,,,,
73.01.06.2006,,,,,,,4,Labuang Pamajang,,,,,,,
73.01.06.2007,,,,,,,5,Masungke,,,,,,,
,,,,,,,,Lembang Baji,,,,"Menjadi wil Kec Pasimasunggu Timur, Perda No. 15/2003",,,
73.01.06.2009,,,,,,,6,Bontosaile,,,,,,,
,,,,,,,,Bontomaling,,,,"Menjadi wil Kec Pasimasunggu Timur, Perda No. 15/2003",,,
73.01.06.2011,,,,,,,7,Telukkampe,,,,"Pemekaran Desa, Perda No. 15/2011",,,
73.01.07,,,,7,Pasimarannu,-,,,8,,,,,,
73.01.07.2001,,,,,,,1,Bonerate,,,,,,,
73.01.07.2002,,,,,,,2,Majapahit,,,,,,,
73.01.07.2003,,,,,,,3,Batu Bingkung,,,,,,,
73.01.07.2004,,,,,,,4,Bonea,,,,,,,
73.01.07.2005,,,,,,,5,Lambego,,,,,,,
73.01.07.2006,,,,,,,6,Komba Komba,,,,,,,
73.01.07.2007,,,,,,,7,Sambali,,,,"Pemekaran sebagian Desa Bonea, Perda No. 7/2010",,,
73.01.07.2008,,,,,,,8,Lamantu,,,,"Pemekaran Desa, Perda No. 15/2011",,,
73.01.08,,,,8,Taka Bonerate,-,,,9,,,,,,
73.01.08.2001,,,,,,,1,Kayuadi,,,,,,,
73.01.08.2002,,,,,,,2,Batang,,,,,,,
73.01.08.2003,,,,,,,3,Nyiur Indah,,,,,,,
73.01.08.2004,,,,,,,4,Tambuna,,,,,,,
73.01.08.2005,,,,,,,5,Jinato,,,,,,,
73.01.08.2006,,,,,,,6,Rajuni,,,,,,,
73.01.08.2007,,,,,,,7,Latondu,,,,,,,
73.01.08.2008,,,,,,,8,Tarupa,,,,,,,
73.01.08.2009,,,,,,,9,Khusus Pasitallu,,,,"Pemekaran Desa, Perda No. 15/2011",,,
73.01.09,,,,9,Pasilambena,-,,,6,,,,,,
73.01.09.2001,,,,,,,1,Kalaotoa,,,,,,,
73.01.09.2002,,,,,,,2,Garaupa,,,,,,,
73.01.09.2003,,,,,,,3,Lembang Matene,,,,,,,
73.01.09.2004,,,,,,,4,Pulo Madu,,,,,,,
73.01.09.2005,,,,,,,5,Karumpa,,,,,,,
73.01.09.2006,,,,,,,6,Garaupa Raya,,,,"Pemekaran Desa, Perda No. 15/2011",,,
73.01.10,,,,10,Pasimasunggu Timur,-,,,6,,,,,,
73.01.10.2001,,,,,,,1,Bontobulaeng,,,,,,,
,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,JUMLAH,,,,,,N A M A   /   J U M L A H,,,LUAS,JUMLAH,,
,,NAMA PROVINSI /,,,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,
