Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,,
,,NOMOR,TAHUN,,,,,,,,,,,,
,,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,,
,,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,,
,,,JUMLAH,,,N A M A,/   J U M L A H,,,,LUAS,JUMLAH,,,
K O D E,,NAMA PROVINSI /,,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,
62.01.02.2013,,,,,,,,6,Umpang,,,,,,
62.01.02.2014,,,,,,,,7,Kumpai Batu Bawah,,,,,,
62.01.02.2015,,,,,,,,8,Kumpai Batu Atas,,,,,,
62.01.02.2016,,,,,,,,9,Natai Raya,,,,,,
62.01.02.2017,,,,,,,,10,Medang Sari,,,,,,
62.01.02.2018,,,,,,,,11,Natai Baru,,,Perda No. 2/2005,,,
62.01.02.2019,,,,,,,,12,Tanjung Terantang,,,Perda No. 30/2006,,,
62.01.02.2020,,,,,,,,13,Sulung,,,"Pemekaran Desa Sulung Kenambui, Perda No. 10/2009",,,
62.01.03,,,,3,Kotawaringin Lama,,2,,15,,,,,,
62.01.03.2001,,,,,,,,1,Babual Baboti,,,,,,
,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,JUMLAH,,,,,N A M A   /   J U M L A H,,,,LUAS,JUMLAH,,,
,NAMA PROVINSI /,,,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,
K O D E,KABUPATEN / KOTA,,,,,,,,,,(Km2),(Jiwa) *),,,
,,KAB,KOTA,,KECAMATAN,,KELURAHAN,,D E S A,,,,,,
62.01.03.2002,,,,,,,,2,Tempayung,,,,,,
62.01.03.2003,,,,,,,,3,Sakabulin,,,,,,
62.01.03.2004,,,,,,,,4,Kinjil,,,,,,
62.01.03.2005,,,,,,,,5,Dawak,,,,,,
62.01.03.2006,,,,,,,,6,Riam Durian,,,,,,
62.01.03.1007,,,,,,1,Kotawaringin Hulu,,,,,,,,
62.01.03.1008,,,,,,2,Kotawaringin Hilir,,,,,,,,
62.01.03.2009,,,,,,,,7,Lalang,,,,,,
62.01.03.2010,,,,,,,,8,Rungun,,,,,,
62.01.03.2011,,,,,,,,9,Kondang,,,,,,
62.01.03.2012,,,,,,,,10,Suka Jaya,,,,,,
62.01.03.2013,,,,,,,,11,Suka Makmur,,,,Perbaikan nama sesuai hasil Rakernis Ditjen Bina Pemdes tentang,,
,,,,,,,,,,,,,Klarifikasi Data Nama dan Kodefikasi Desa tgl 1 April 2016,,
62.01.03.2014,,,,,,,,12,Sumber Mukti,,,,,,
62.01.03.2015,,,,,,,,13,Palih Baru,,,,,,
62.01.03.2016,,,,,,,,14,Ipuh Bangun Jaya,,,,Perda No. 2/2005,,
62.01.03.2017,,,,,,,,15,Sagu Suka Mulya,,,,,,
