Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,
,,NOMOR,TAHUN,,,,,,,,,,,
,,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,
,,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,
,,,JUMLAH,,,N A M A,/   J U M L A H,,,LUAS,JUMLAH,,,
K O D E,,NAMA PROVINSI /,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,
,,KABUPATEN / KOTA,KAB,KOTA,,KECAMATAN,KELURAHAN,,D E S A,(Km2),(Jiwa) *),,,
,,Panguripan,"Bergabung dg Desa Simartokis, Purba Sinomba, Purba Tua, dan",,,,,,,,,,,
,,,"Desa Janji Mauli, Perda No. 5/2008",,,,,,,,,,,
,,Janji Nauli Tapus,"Bergabung dg Desa Simartokis, Purba Sinomba, Purba Tua, dan",,,,,,,,,,,
,,,"Desa Panguripan, Perda No. 5/2008",,,,,,,,,,,
,,Lampining,"Penggabungan Desa Parsanggrahan, Huta Baru Lobu Tayas, Lobu",,,,,,,,,,,
,,,"Tayas, Tanjung Selamat, Siranap, dan Desa Gariang, Perda No.",,,,,,,,,,,
,,,5/2008,,,,,,,,,,,
,,Tolang Godang,"Bergabung dg Desa Tolang Julu, Tolang Godang, dan Desa Tolang",,,,,,,,,,,
,,,"Dolok, Perda No. 5/2008",,,,,,,,,,,
,,Sipagabu,"Bergabung dg Desa Tapus Dolok, Perda No. 5/2008",,,,,,,,,,,
12.03.22.2043,7,Tolang,"Penggabungan Desa Tolang Gunung, Tolang Julu, Tolang Godang,",,,,,,,,,,,
,,,"dan Desa Tolang Dolok, Perda No. 5/2008",,,,,,,,,,,
12.03.22.2044,8,Tapus Sipagabu,"Penggabungan Desa Sipagabu dan Desa Tapus Dolok, Perda No.",,,,,,,,,,,
5/2008,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,JUMLAH,,,N A M A   /   J U M L A H,,,LUAS,JUMLAH,,,,,
,NAMA PROVINSI /,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,,,
K O D E,KABUPATEN / KOTA,,,,,,,(Km2),(Jiwa) *),,,,,
,,KAB,KOTA,KECAMATAN,KELURAHAN,,D E S A,,,,,,,
12.03.22.2045,,,,,,9,Huta baru,,,"Penggabungan Desa Huta Baru Tapus dan Desa Tanjung Baru,",,,,
,,,,,,,,,,Perda No. 5/2008,,,,
12.03.22.2046,,,,,,10,Aek Latong,,,"Penggabungan Desa Padang Panjang, Aek Horsik, dan Desa Aek",,,,
,,,,,,,,,,"Pisang, Perda No. 5/2008",,,,
12.03.22.2047,,,,,,11,Aek Urat,,,"Penggabungan Desa Simartokis, Purba Sinomba, Purba Tua,",,,,
,,,,,,,,,,"Panguripan, dan Desa Janji Mauli, Perda No. 5/2008",,,,
12.03.22.2048,,,,,,12,Gorahut,,,"Penggabungan Desa Gonting Pege, Huta Tonga Sihulambu, dan",,,,
,,,,,,,,,,"Desa Ramba Padang, Perda No. 5/2008, Berdasarkan Perda",,,,
,,,,,,,,,,Kabupaten Tapanuli Selatan No.1 Tahun 2016,,,,
,,,,Portibi,,,,,,"Menjadi wil. Kab. Padang Lawas Utara, UU No. 37/2007",,,,
,,,,,,,,,,,,,,
Sitopayan,,,,,,,,,,,,,,
Lantosan I,,,,,,,,,,,,,,
Aek Haruaya,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gunung Baringin,,,,,,,,,,,,,,
Hadungdung,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ronadaman Dolok,,,,,,,,,,,,,,
Sipirok,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Tanjung Salamat,,,,,,,,,,,,,,
Rondaman Lobang,,,,,,,,,,,,,,
Papsarman,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Haloban,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Portibi Julu,,,,,,,,,,,,,,
Portibi Jae,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gunung Manaon,,,,,,,,,,,,,,
Pasir Pinang,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Bahal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Bara,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Simandiangin,,,,,,,,,,,,,,
Hotang Sassa,,,,,,,,,,,,,,
Aek Siala,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gumarupu Baru,,,,,,,,,,,,,,
Padang Manjoir,,,,,,,,,,,,,,
Gumarupu Lama,,,,,,,,,,,,,,
Gunung Martua,,,,,,,,,,,,,,
Sihambeng,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Aek Torop,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Napa Lombang,,,,,,,,,,,,,,
Mangaledang Lama,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,JUMLAH,,,N A M A   /   J U M L A H,,LUAS,JUMLAH,,,,,,
,NAMA PROVINSI /,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,,,,
K O D E,KABUPATEN / KOTA,,,,,,(Km2),(Jiwa) *),,,,,,
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,,,,,,,
,,,,,,,,,,,,,,
Mangaledang,,,,,,,,,,,,,,
Bangkudu,,,,,,,,,,,,,,
Balaka Torop,,,,,,,,,,,,,,
Janji Matogu,,,,,,,,,,,,,,
Muara Sigama,,,,,,,,,,,,,,
Napa Halas,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Sigama Napahalas,,,,,,,,,,,,,,
Gunung Manaon II,,,,,,,,,,,,,,
Pincorkoling,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Torluk Muara Dolok,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Huristak,"Menjadi wil. Kab. Padang Lawas, UU No.38/2007",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Binangan II,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Tanjung Baringin,,,,,,,,,,,,,,
Huristak,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Paran Tonga HR.,,,,,,,,,,,,,,
Gonting Julu,,,,,,,,,,,,,,
Bulu Cina,,,,,,,,,,,,,,
Sigading,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pasir Lancat lama,,,,,,,,,,,,,,
Siala Gundi,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Tobing Julu,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Torsihoda- Hoda,,,,,,,,,,,,,,
Huta Pasir Ulok Tano,,,,,,,,,,,,,,
Tobing Jae,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pasar Huritak,,,,,,,,,,,,,,
Sipirok Baru,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pasir Lancat Baru,,,,,,,,,,,,,,
Tobing Tinggi HR.,,,,,,,,,,,,,,
Ganal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Paya Bujing,,,,,,,,,,,,,,
Pulo Barian,,,,,,,,,,,,,,
Ramba,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gonting Jae,,,,,,,,,,,,,,
Gala Bonang,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,JUMLAH,,,N A M A   /   J U M L A H,,LUAS,JUMLAH,,,,,,
,NAMA PROVINSI /,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,,,,
K O D E,KABUPATEN / KOTA,,,,,,(Km2),(Jiwa) *),,,,,,
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,,,,,,,
,,,,,,,,,,,,,,
Tanjung Morang HR.,,,,,,,,,,,,,,
Gunung Manaon HR,,,,,,,,,,,,,,
Gunung Matinggi,,,,,,,,,,,,,,
Pasir Pinang,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Simangambat,"Menjadi wil. Kab. Padang Lawas Utara, UU No. 37/2007",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Huta Raja,,,,,,,,,,,,,,
Marlaung,,,,,,,,,,,,,,
Mananti,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Tobing Tinggi UB.,,,,,,,,,,,,,,
Ujung Batu Jae,,,,,,,,,,,,,,
Labuhan Jurung,,,,,,,,,,,,,,
Gunung Manaon UB.,,,,,,,,,,,,,,
Jambu Tonang,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Paya Bahung UB.,,,,,,,,,,,,,,
Marenu Tua,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ujung Batu Julu,,,,,,,,,,,,,,
Pasir Lancat UB,,,,,,,,,,,,,,
Martujuan,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ulok Tano,,,,,,,,,,,,,,
Aek Baru,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Tanjung Maria,,,,,,,,,,,,,,
Mandasip,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Huta Baru,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Janji Matogu SIM,,,,,,,,,,,,,,
Paran padang,,,,,,,,,,,,,,
Tanjung Botung,,,,,,,,,,,,,,
Huta Pasir,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Langkimat,,,,,,,,,,,,,,
Jabi Jabi,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Simangambat Jae,,,,,,,,,,,,,,
Ujung Gading Jae,,,,,,,,,,,,,,
Huta Baringin,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gunung Manaon Sim,,,,,,,,,,,,,,
Sionggotan,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,JUMLAH,,,N A M A   /   J U M L A H,,LUAS,JUMLAH,,,,,,
,NAMA PROVINSI /,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,,,,
K O D E,KABUPATEN / KOTA,,,,,,(Km2),(Jiwa) *),,,,,,
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,,,,,,,
,,,,,,,,,,,,,,
Paran Tonga Sim,,,,,,,,,,,,,,
Uj. Gading Julu,,,,,,,,,,,,,,
Simangambat Julu,,,,,,,,,,,,,,
Siagagan,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Kosik Putih,Perda No. 25/2006,,,,,,,,,,,,,
Ulu Barumun,"Menjadi wil. Kab. Padang Lawas, UU No.38/2007",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Simanullang Jae,,,,,,,,,,,,,,
Simanullang Julu,,,,,,,,,,,,,,
Tapian Nauli,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Handang Kopo,,,,,,,,,,,,,,
Sibulus Salam,,,,,,,,,,,,,,
Pintu Padang,,,,,,,,,,,,,,
Matondang,,,,,,,,,,,,,,
Pasar Ipu,,,,,,,,,,,,,,
Paringgonan,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Paringgonan Julu,,,,,,,,,,,,,,
Paran Batu,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Sibual Buali,,,,,,,,,,,,,,
Tanjung,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Siraisan,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Aek Haruaya,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Lubuk Barumun,"Menjadi wil. Kab. Padang Lawas, UU No.38/2007",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Janji Matogu,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pagaran Silindung,,,,,,,,,,,,,,
Tangga Bosi,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Huta Ibus,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pagaran Julu Julu,,,,,,,,,,,,,,
Hutanopan,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pasar Latong,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pagaran Jae Batu,,,,,,,,,,,,,,
Aek Lancat,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Batang Tanggal Baru,,,,,,,,,,,,,,
Bonal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pagaran Malaka,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,JUMLAH,,,N A M A   /   J U M L A H,,LUAS,JUMLAH,,,,,,
,NAMA PROVINSI /,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,,,,
K O D E,KABUPATEN / KOTA,,,,,,(Km2),(Jiwa) *),,,,,,
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,,,,,,,
,,,,,,,,,,,,,,
Huta Dolok,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gunung Manobot,,,,,,,,,,,,,,
Batang Bulu Jae,,,,,,,,,,,,,,
Suro Dingin,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Janji Lobi Lama,,,,,,,,,,,,,,
Sangkilon,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Siali Ali,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Huta Lombang,,,,,,,,,,,,,,
Pagaran Mompang,,,,,,,,,,,,,,
Parsombaan,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Sihiuk,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Batang Bulu Tanggal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Batang Lubu Sutam,"Menjadi wil. Kab. Padang Lawas, UU No.38/2007",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Tanjung Baru,,,,,,,,,,,,,,
Tamiang,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Tanjung Barani,,,,,,,,,,,,,,
Manggis,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pagaran Tayas,,,,,,,,,,,,,,
Huta Tonga,,,,,,,,,,,,,,
Botung,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Siadam,,,,,,,,,,,,,,
Siojo,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pagaran Manggis,,,,,,,,,,,,,,
Muara Laminto Lamo,,,,,,,,,,,,,,
Hutabaru,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Huta Nopan,,,,,,,,,,,,,,
Tandolan,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Tangga Batu,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pagaran Dolok Pinarik,,,,,,,,,,,,,,
Muara Malinto Baru,,,,,,,,,,,,,,
Aek Sorik,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Tj Botung Pinarik,,,,,,,,,,,,,,
Ramboyan,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Salambue,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,JUMLAH,,,N A M A   /   J U M L A H,,LUAS,JUMLAH,,,,,,
,NAMA PROVINSI /,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,,,,
K O D E,KABUPATEN / KOTA,,,,,,(Km2),(Jiwa) *),,,,,,
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,,,,,,,
,,,,,,,,,,,,,,
Papaso,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Muara Tige,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Sibodak Papaso,,,,,,,,,,,,,,
Paparan Baringin,,,,,,,,,,,,,,
Gunung Intan,,,,,,,,,,,,,,
Gunung Manaon,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
12.03.29,12,Muara Batang Toru,,,3,,,6,Perda No. 12/2007,,,,,
12.03.29.2001,,,,,,1,Bandar Hapinis,,Semula wil. Kec. Batang Toru,,,,,
12.03.29.1002,,,1,Hutaraja,,,,,"Semula wil. Kec. Batang Toru, Peningkatan status menjadi Kel.",,,,,
,,,,,,,,,Perda No. 5/2008,,,,,
12.03.29.2003,,,,,,2,Pardamean,,Semula wil. Kec. Batang Toru,,,,,
12.03.29.2004,,,,,,3,Tarapung Raya,,Semula wil. Kec. Batang Toru,,,,,
,,,,,,,Rianate I,,Menjadi Kel Muara Manompas Perda No. 5/2008,,,,,
,,,,,,,Rianate II,,Menjadi Kel Muara Ampolu Perda No. 5/2008,,,,,
12.03.29.2007,,,,,,4,Muara Opu,,"Semula wil. Kec. Angkola Barat, Berdasarkan Perda Kabupaten",,,,,
,,,,,,,,,Tapanuli Selatan No.1 Tahun 2016,,,,,
12.03.29.1008,,,2,Muara Manompas,,,,,Peningkatan status Desa Rianate I menjadi Kel. Perda No. 5/2008,,,,,
12.03.29.1009,,,3,Muara Ampolu,,,,,Peningkatan status Desa Rianate II menjadi Kel. Perda No. 5/2008,,,,,
12.03.29.2010,,,,,,5,Simarlelan,,Perda No. 5/2008,,,,,
12.03.29.2011,,,,,,6,Muara Huta Raja,,Perda No. 5/2008,,,,,
12.03.30,13,Tano Tombangan,,,1,,,16,Pemekaran Kec. sebagian Kec. Sayur Matinggi Perda No. 5/2010,,,,,
,,Angkola,,,,,,,,,,,,
12.03.30.1001,,,1,Panabari Hutatonga,,,,,"Penggabungan Desa Panabari, Huta Tonga TT, dan Desa Padang",,,,,
,,,,,,,,,"Bujur, serta peningkatan status Kel., Perda No. 5/2008 - Semula",,,,,
,,,,,,,,,berada di wil. Kec. Sayur Matinggi  Perda No. 5/2010,,,,,
12.03.30.2002,,,,,,1,Aek Uncim,,Semula berada di wil. Kec. Sayur Matinggi  Perda No. 5/2010,,,,,
12.03.30.2003,,,,,,2,Panindoan,,Semula berada di wil. Kec. Sayur Matinggi  Perda No. 5/2010,,,,,
12.03.30.2004,,,,,,3,Aek Kahombu,,Semula berada di wil. Kec. Sayur Matinggi  Perda No. 5/2010,,,,,
12.03.30.2005,,,,,,4,Batu Horpak,,Semula berada di wil. Kec. Sayur Matinggi  Perda No. 5/2010,,,,,
12.03.30.2006,,,,,,5,Situmba,,"Penggabungan Desa Aek Sulum, Desa Gunung Tua Baringin, Desa",,,,,
,,,,,,,,,"Baringin TT, Desa Janji Mauli TT, Perda No. 5/2008 Semula",,,,,
,,,,,,,,,berada di wil. Sayur Matinggi Perda No. 5/2010,,,,,
12.03.30.2007,,,,,,6,Purba Tua,,"Penggabungan Desa Purba Tua TT dan Desa Lumban Sihubil,",,,,,
,,,,,,,,,"Perda No. 5/2008, Semula berada di wil. Kec. Sayur Matinggi",,,,,
,,,,,,,,,Perda No. 5/2010,,,,,
12.03.30.2008,,,,,,7,Lumban Jabi-jabi,,"Semula berada di wil. Kec. Sayur Matinggi  Perda No. 5/2010,",,,,,
,,,,,,,,,Berdasarkan Perda Kabupaten Tapanuli Selatan No.1 Tahun 2016,,,,,
12.03.30.2009,,,,,,8,Ingul Jae,,Semula berada di wil. Kec. Sayur Matinggi  Perda No. 5/2010,,,,,
12.03.30.2010,,,,,,9,Sisoma,,Semula berada di wil. Kec. Sayur Matinggi  Perda No. 5/2010,,,,,
12.03.30.2011,,,,,,10,Lumban Ratus,,Semula berada di wil. Kec. Sayur Matinggi  Perda No. 5/2010,,,,,
,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,JUMLAH,,,,,N A M A   /   J U M L A H,,,,LUAS,JUMLAH,
,,NAMA PROVINSI /,,,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N
K O D E,,KABUPATEN / KOTA,,,,,,,,,,(Km2),(Jiwa) *),
,,,KAB,KOTA,KECAMATAN,,,KELURAHAN,,D E S A,,,,
12.03.30.2012,,,,,,,,,11,Kota Tua,,,,Semula berada di wil. Kec. Sayur Matinggi  Perda No. 5/2010
12.03.30.2013,,,,,,,,,12,Simaninggir Tano,,,,"Semula berada di wil. Kec. Sayur Matinggi  Perda No. 5/2010,"
,,,,,,,,,,Tombangan,,,,Berdasarkan Perda Kabupaten Tapanuli Selatan No.1 Tahun 2016
12.03.30.2014,,,,,,,,,13,Huta Raja,,,,"Semula berada di wil. Kec. Sayur Matinggi  Perda No. 5/2010,"
,,,,,,,,,,,,,,Berdasarkan Perda Kabupaten Tapanuli Selatan No.1 Tahun 2016
12.03.30.2015,,,,,,,,,14,Harean,,,,Semula berada di wil. Kec. Sayur Matinggi  Perda No. 5/2010
12.03.30.2016,,,,,,,,,15,Aek Parupuk,,,,Semula berada di wil. Kec. Sayur Matinggi  Perda No. 5/2010
12.03.30.2017,,,,,,,,,16,Tanjung Medan,,,,Semula berada di wil. Kec. Sayur Matinggi  Perda No. 5/2010
12.03.31,,,,14,Angkola Sangkunur,,,2,,,8,,,Pemekaran sebagian wil. Kec. Angkola Barat Perda No. 5/2010
12.03.31.1001,,,,,,,1,Sangkunur,,,,,,"Peningkatan status Kel., Perda No. 5/2008 - semula berada wil."
,,,,,,,,,,,,,,Kec. Angkola Barat  Perda No. 5/2010
12.03.31.1002,,,,,,,2,Rianiate,,,,,,"Peningkatan status Kel., Perda No. 5/2008, semula berada wil."
,,,,,,,,,,,,,,Kec. Angkola Barat  Perda No. 5/2010
12.03.31.2003,,,,,,,,,1,Simatohir,,,,semula berada wil. Kec. Angkola Barat  Perda No. 5/2010
12.03.31.2004,,,,,,,,,2,Perkebunan,,,,Penggabungan Desa Perkebunan Sangkunur & Desa Perkebunan
,,,,,,,,,,,,,,"Molambu, Perda No. 5/2008, semula berada wil. Kec. Angkola"
,,,,,,,,,,,,,,Barat  Perda No. 5/2010
12.03.31.2005,,,,,,,,,3,Bandar Tarutung,,,,Semula berada di wil Kec. Angkola Barat Perda No. 5/2010
12.03.31.2006,,,,,,,,,4,Aek Pardomuan,,,,Semula berada di wil. Kec. Angkola Barat Perda No. 5/2010
12.03.31.2007,,,,,,,,,5,Tindoan Laut,,,,Semula berada di wil Kec. Angkola Barat Perda No. 5/2010
12.03.31.2008,,,,,,,,,6,Simataniari,,,,Semula berada di wil Kec. Angkola Barat Perda No. 5/2010
12.03.31.2009,,,,,,,,,7,Batu Godang,,,,Semula berada di wil Kec. Angkola Barat Perda No. 5/2010
12.03.31.2010,,,,,,,,,8,Malombu,,,,Perda No. 25/2006 - Semula berada di wil Kec. Angkola Selatan
,,,,,,,,,,,,,,Perda No. 5/2010
12.04,4,KAB. NIAS,,,,10,,-,,,170,"1.842,51",152.774,
,,,,,Gunung Sitoli,,,,,,,,,"Menjadi wil. Kota Gunungsitoli, UU No. 47/2008"
,,,,,,,,,,Bawodesolo,,,,"Menjadi wil. Kec. Gunung Sitoli Idanoi, Perda No 5 /2005"
,,,,,,,,,,,,,,
Boyo,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Dahadang Gawu,,,,,,,,,,,,,,
Gawu,,,,,,,,,,,,,,
Dahana Tabaloho,,,,,,,,,,,,,,
Padoro Lasara,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Faekhu,"Menjadi wil. Kec. Gunungsitoli Selatan, Perda No. 5/2005",,,,,,,,,,,,,
Fodo,"Menjadi wil. Kec. Gunungsitoli Selatan, Perda No. 5/2005",,,,,,,,,,,,,
Gada,"Menjadi wil. Kec. Gunungsitoli Barat, Perda No.4/2008",,,,,,,,,,,,,
Hiligara,"Menjadi wil. Kec. Gunungsitoli Selatan, Perda No. 5/2005",,,,,,,,,,,,,
Hiligodu Ombolata,"Menjadi wil. Kec. Gunungsitoli Selatan, Perda No. 5/2005",,,,,,,,,,,,,
Hiligodu Ulu,"Menjadi wil. Kec. Gunungsitoli Utara , Perda No. 5/2005",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Hilihao,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,JUMLAH,,,N A M A   /   J U M L A H,,LUAS,JUMLAH,,,,,,
,NAMA PROVINSI /,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,,,,
K O D E,KABUPATEN / KOTA,,,,,,(Km2),(Jiwa) *),,,,,,
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,,,,,,,
,,,,,,Hilimbaruzo,,,,,,,,
,,,,,,Hilimbowoolora,,,"Menjadi wil. Kec. Gunungsitoli Utara , Perda No. 5/2005",,,,,
,,,,,,Hilina'a,,,,,,,,
,,,,,,Hilinakhe,,,"Menjadi wil. Kec. Gunungsitoli Barat, Perda No.4/2008",,,,,
,,,,,,Iraono Geba,,,,,,,,
,,,,,,Lasara Bahili,,,,,,,,
,,,,,,Lolowonu Nikootano,,,,,,,,
,,,,,,Lololawa,,,"Menjadi wil. Kec. Gunungsitoli Olo'oa,Perda No. 5/2005",,,,,
,,,,,,Lolofaoso Tabaloho,,,"Menjadi wil. Kec. Gunungsitoli Selatan, Perda No 5/2005",,,,,
,,,,,,Lololakha,,,"Menjadi wil. Kec. Gunungsitoli Selatan, Perda No 5/2005",,,,,
,,,,,,Lolomoyo,,,"Menjadi wil. Kec. Gunungsitoli Barat, Perda No.4/2008",,,,,
,,,,,,Tuhemberua,,,,,,,,
,,,,,,Lolomboi,,,"Menjadi wil. Kec. Gunungsitoli Selatan, Perda No 5/2005",,,,,
,,,,,,Luahalaraga,,,"Menjadi wil. Kec. Gunungsitoli Selatan, Perda No 5/2005",,,,,
,,,,,,Madula,,,,,,,,
,,,,,,Mazingo Tabaloho,,,"Menjadi wil. Kec. Gunungsitoli Selatan, Perda No 5/2005",,,,,
,,,,,,,,,,,,,,
Madolaoli,,,,,,,,,,,,,,
Mudik,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Miga,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Mo'awo,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Olora,"Menjadi wil.Kec. Gunungsitoli Utara, Perda No. 5/2005",,,,,,,,,,,,,
Ombolata Ulu,,,,,,,,,,,,,,
Ombolata Simanari,"Menjadi wil. Kec. Gunungsitoli Selatan, Perda No 5/2005",,,,,,,,,,,,,
Ononamolo I Lot,"Menjadi wil. Kec. Gunungsitoli Selatan, Perda No 5/2005",,,,,,,,,,,,,
Ononamolo II Lot,"Menjadi wil. Kec. Gunungsitoli Selatan, Perda No 5/2005",,,,,,,,,,,,,
Ono Waembo,,,,,,,,,,,,,,
Onozikho,"Menjadi wil. Kec. Gunungsitoli Barat, Perda No.4/2008",,,,,,,,,,,,,
Onozitoli Olora,,,,,,,,,,,,,,
Onozitoli Sifaoroasi,,,,,,,,,,,,,,
Onozitoli Tabaloho,"Menjadi wil. Kec. Gunungsitoli Selatan, Perda No 5/2005",,,,,,,,,,,,,
Orahili Tumori,"Menjadi wil. Kec. Gunungsitoli Barat, Perda No.4/2008",,,,,,,,,,,,,
Saewe,,,,,,,,,,,,,,
Sifalaete Tabaloho,,,,,,,,,,,,,,
Sifalaete Ulu,,,,,,,,,,,,,,
"Sihare""o Tabaloho","Menjadi wil. Kec. Gunungsitoli Selatan, Perda No 5/2005",,,,,,,,,,,,,
,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,JUMLAH,,,N A M A   /   J U M L A H,,LUAS,JUMLAH,,,,,,
