Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,
,,NOMOR,TAHUN,,,,,,,,,,,
,,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,
,,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,
,,,JUMLAH,,,N A M A,/   J U M L A H,,,LUAS,JUMLAH,,,
K O D E,,NAMA PROVINSI /,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,
,,KABUPATEN / KOTA,KAB,KOTA,,KECAMATAN,KELURAHAN,,D E S A,(Km2),(Jiwa) *),,,
,,,,,,,,,Sipan,,,,Menjadi wil. Kec. Sarudik,
,,,,,,,Pasir Bidang,,,,,,Menjadi wil. Kec. Sarudik,
12.01.03.1011,,,,,,7,Aek Sitio-tio,,,,,,,
12.01.03.1012,,,,,,8,Sibuluan Raya,,,,,,,
12.01.03.1013,,,,,,9,Kalangan,,,,,,,
12.01.03.2014,,,,,,,,1,Aek Garut,,,,Perda 9/2009,
12.01.03.2015,,,,,,,,2,Sitio-Tio Hilir,,,,Perda 9/2009,
12.01.03.1016,,,,,,10,Pandan Wangi,,,,,,Perda 10/2009,
12.01.03.1017,,,,,,11,Lubuk Tukko Baru,,,,,,Perda 10/2009,
,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,JUMLAH,,,,,N A M A   /   J U M L A H,,,,LUAS,JUMLAH,,
,NAMA PROVINSI /,,,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,
K O D E,KABUPATEN / KOTA,,,,,,,,,,(Km2),(Jiwa) *),,
,,KAB,KOTA,,KECAMATAN,,KELURAHAN,,D E S A,,,,,
12.01.03.1018,,,,,,12,Sibuluan Baru,,,,,,Perda 10/2009,
12.01.03.1019,,,,,,13,Sibuluan Terpadu,,,,,,Perda 10/2009,
12.01.03.1020,,,,,,14,Sihaporas Nauli,,,,,,Perda 10/2009,
12.01.03.1021,,,,,,15,Pasar Baru,,,,,,Perda 10/2009,
12.01.03.1022,,,,,,16,Budi Luhur,,,,,,Perda 10/2009,
12.01.03.1023,,,,,,17,Kalangan Indah,,,,,,Perda 10/2009,
12.01.03.1024,,,,,,18,Mangga Dua,,,,,,Perda 10/2009,
12.01.03.1025,,,,,,19,Muara Nibung,,,,,,Pemekaran dari Kel Hajoran Perda 10/2009,
